claim id,evidence id,count,majority,label
5637.749,5637.749-2,2,,"[0, 3]"
2408.1396,2408.1396-6,2,,"[3, 0]"
15978.5,15978.500-4,2,,"[3, 0]"
27246.216,27246.216-5,2,,"[3, 0]"
16070.427,16070.427-4,2,,"[0, 3]"
17715.261,17715.261-3,2,,"[3, 0]"
2408.359,2408.359-0,2,,"[0, 3]"
2091.1432,2091.1432-6,2,,"[0, 3]"
15660.5,15660.5-3,2,,"[0, 3]"
4654.497,4654.497-1,2,,"[0, 3]"
2439.37,2439.37-0,2,,"[0, 3]"
24431.671,24431.671-5,2,,"[0, 3]"
2871.267,2871.267-7,2,,"[3, 0]"
2210.532,2210.532-0,2,,"[3, 0]"
2210.532,2210.532-1,2,,"[3, 0]"
23850.576,23850.576-3,2,,"[3, 0]"
24252.542,24252.542-6,2,,"[0, 3]"
1257.662,1257.662-4,2,,"[0, 3]"
11186.27,11186.27-6,2,,"[0, 3]"
13386.389,13386.389-3,2,,"[3, 0]"
801.2561,801.2561-5,2,,"[3, 0]"
28620.148,28620.148-1,2,,"[0, 3]"
2206.171,2206.1710-0,2,,"[0, 3]"
2206.171,2206.1710-2,2,,"[0, 3]"
25215.2,25215.20-5,2,,"[3, 0]"
9128.243,9128.243-1,2,,"[3, 0]"
3529.213,3529.213-3,2,,"[0, 3]"
16174.126,16174.126-4,2,,"[0, 3]"
13057.71,13057.71-1,2,,"[0, 3]"
15434.2264,15434.2264-2,2,,"[0, 3]"
22969.6,22969.6-7,2,,"[0, 3]"
10049.103,10049.103-2,2,,"[0, 3]"
10237.171,10237.171-5,2,,"[0, 3]"
10237.171,10237.171-6,2,,"[0, 3]"
10237.171,10237.171-7,2,,"[3, 0]"
28582.1,28582.100-1,2,,"[3, 0]"
1324.542,1324.542-6,2,,"[3, 0]"
17773.145,17773.145-1,2,,"[0, 3]"
4013.32,4013.32-7,2,,"[3, 0]"
1154.13,1154.130-2,2,,"[3, 0]"
1154.13,1154.130-4,2,,"[3, 0]"
26938.21,26938.21-1,2,,"[3, 0]"
9197.32,9197.320-8,2,,"[3, 0]"
5306.11,5306.11-1,2,,"[0, 3]"
9226.1842,9226.1842-3,2,,"[0, 3]"
1257.92,1257.920-0,2,,"[0, 3]"
1257.92,1257.920-1,2,,"[3, 0]"
2211.1382,2211.1382-1,2,,"[0, 3]"
2964.242,2964.242-9,2,,"[0, 3]"
16218.455,16218.455-3,2,,"[0, 3]"
18807.148,18807.148-6,2,,"[3, 0]"
12304.1414,12304.1414-9,2,,"[0, 3]"
3353.453,3353.453-1,2,,"[0, 3]"
21296.17,21296.17-6,2,,"[0, 3]"
1922.2813,1922.2813-1,2,,"[3, 0]"
30447.34,30447.34-3,2,,"[3, 0]"
26866.11,26866.110-1,2,,"[0, 3]"
8319.878,8319.878-4,2,,"[3, 0]"
4611.52,4611.52-0,2,,"[0, 3]"
2629.2853,2629.2853-1,2,,"[0, 3]"
10250.1336,10250.1336-1,2,,"[0, 3]"
10250.1336,10250.1336-2,2,,"[3, 0]"
2964.2355,2964.2355-3,2,,"[3, 0]"
6949.116,6949.116-6,2,,"[3, 0]"
3692.443,3692.443-10,2,,"[3, 0]"
12964.18,12964.18-1,2,,"[3, 0]"
8148.42,8148.42-0,2,,"[0, 3]"
4415.362,4415.362-0,2,,"[3, 0]"
1258.638,1258.638-6,2,,"[0, 3]"
1592.405,1592.405-2,2,,"[0, 3]"
2224.61,2224.61-4,2,,"[0, 3]"
26929.45,26929.45-3,2,,"[0, 3]"
16372.9,16372.9-5,2,,"[0, 3]"
3529.1251,3529.1251-0,2,,"[3, 0]"
2024.1771,2024.1771-3,2,,"[0, 3]"
2760.82,2760.82-7,2,,"[3, 0]"
2760.82,2760.82-8,2,,"[3, 0]"
2629.4614,2629.4614-4,2,,"[0, 3]"
14478.2436,14478.2436-6,2,,"[0, 3]"
2851.519,2851.519-8,2,,"[0, 3]"
4555.117,4555.117-0,2,,"[0, 3]"
30486.3,30486.3-1,2,,"[0, 3]"
30486.3,30486.3-7,2,,"[0, 3]"
30486.3,30486.3-9,2,,"[0, 3]"
29836.176,29836.176-4,2,,"[3, 0]"
